"","date","season","home_team_full_name","home_team_abb","away_team_full_name","away_team_abb","game_id","wp_home","wp_away"
"1","2022-11-14","2023","Detroit Pistons","DET","Toronto Raptors","TOR","401468354","0.432","0.568"
"2","2022-11-14","2023","Orlando Magic","ORL","Charlotte Hornets","CHA","401468355","0.403","0.597"
"3","2022-11-14","2023","Boston Celtics","BOS","Oklahoma City Thunder","OKC","401468356","0.894","0.106"
"4","2022-11-14","2023","Miami Heat","MIA","Phoenix Suns","PHX","401468357","0.598","0.402"
"5","2022-11-14","2023","Houston Rockets","HOU","LA Clippers","LAC","401468358","0.385","0.615"
"6","2022-11-14","2023","Milwaukee Bucks","MIL","Atlanta Hawks","ATL","401468359","0.444","0.556"
"7","2022-11-14","2023","Golden State Warriors","GS","San Antonio Spurs","SA","401468360","0.715","0.285"
"8","2022-11-15","2023","New Orleans Pelicans","NO","Memphis Grizzlies","MEM","401468361","0.537","0.463"
"9","2022-11-15","2023","Dallas Mavericks","DAL","LA Clippers","LAC","401468362","0.755","0.245"
"10","2022-11-15","2023","Utah Jazz","UTAH","New York Knicks","NY","401468363","0.729","0.271"
"11","2022-11-15","2023","Portland Trail Blazers","POR","San Antonio Spurs","SA","401468364","0.738","0.262"
"12","2022-11-15","2023","Sacramento Kings","SAC","Brooklyn Nets","BKN","401468365","0.563","0.437"
"13","2022-11-16","2023","Charlotte Hornets","CHA","Indiana Pacers","IND","401468366","0.637","0.363"
"14","2022-11-16","2023","Orlando Magic","ORL","Minnesota Timberwolves","MIN","401468367","0.298","0.702"
"15","2022-11-16","2023","Washington Wizards","WSH","Oklahoma City Thunder","OKC","401468368","0.75","0.25"
"16","2022-11-16","2023","Atlanta Hawks","ATL","Boston Celtics","BOS","401468369","0.488","0.512"
"17","2022-11-16","2023","Toronto Raptors","TOR","Miami Heat","MIA","401468370","0.562","0.438"
"18","2022-11-16","2023","Milwaukee Bucks","MIL","Cleveland Cavaliers","CLE","401468371","0.568","0.432"
"19","2022-11-16","2023","New Orleans Pelicans","NO","Chicago Bulls","CHI","401468372","0.619","0.381"
"20","2022-11-16","2023","Dallas Mavericks","DAL","Houston Rockets","HOU","401468373","0.752","0.248"
"21","2022-11-16","2023","Denver Nuggets","DEN","New York Knicks","NY","401468374","0.573","0.427"
"22","2022-11-16","2023","Phoenix Suns","PHX","Golden State Warriors","GS","401468375","0.496","0.504"
"23","2022-11-18","2023","Washington Wizards","WSH","Miami Heat","MIA","401468379","0.554","0.446"
"24","2022-11-18","2023","Cleveland Cavaliers","CLE","Charlotte Hornets","CHA","401468380","0.715","0.285"
"25","2022-11-18","2023","Philadelphia 76ers","PHI","Milwaukee Bucks","MIL","401468381","0.639","0.361"
"26","2022-11-18","2023","Chicago Bulls","CHI","Orlando Magic","ORL","401468382","0.758","0.242"
"27","2022-11-18","2023","Houston Rockets","HOU","Indiana Pacers","IND","401468383","0.403","0.597"
"28","2022-11-18","2023","Memphis Grizzlies","MEM","Oklahoma City Thunder","OKC","401468384","0.796","0.204"
"29","2022-11-18","2023","Dallas Mavericks","DAL","Denver Nuggets","DEN","401468385","0.731","0.269"
"30","2022-11-18","2023","New Orleans Pelicans","NO","Boston Celtics","BOS","401468386","0.44","0.56"
"31","2022-11-18","2023","Utah Jazz","UTAH","Phoenix Suns","PHX","401468387","0.598","0.402"
"32","2022-11-18","2023","Golden State Warriors","GS","New York Knicks","NY","401468388","0.735","0.265"
"33","2022-11-18","2023","Los Angeles Lakers","LAL","Detroit Pistons","DET","401468389","0.783","0.217"
"34","2022-11-19","2023","Atlanta Hawks","ATL","Toronto Raptors","TOR","401468390","0.665","0.335"
"35","2022-11-19","2023","Indiana Pacers","IND","Orlando Magic","ORL","401468391","0.74","0.26"
"36","2022-11-19","2023","Philadelphia 76ers","PHI","Minnesota Timberwolves","MIN","401468392","0.628","0.372"
"37","2022-11-19","2023","Portland Trail Blazers","POR","Utah Jazz","UTAH","401468393","0.511","0.489"
"38","2022-11-19","2023","LA Clippers","LAC","San Antonio Spurs","SA","401468394","0.699","0.301"
