date,season,home_team,away_team,ESPN_home_wp,ESPN_away_wp,538_home_wp,538_away_wp,model_home_wp,model_away_wp,Outcome,ModelPredOutcome,Accurate?
2018-01-06,2018,LAC,GSW,0.725,0.275,,,,,GSW,NA,False
2018-01-06,2018,BRK,BOS,0.624,0.376,,,,,BOS,NA,False
2018-01-07,2018,MIA,UTA,0.439,0.561,,,,,MIA,NA,False
2018-01-11,2018,PHI,BOS,0.541,0.459,,,,,BOS,NA,False
2018-01-13,2018,DAL,LAL,0.333,0.667,,,,,LAL,NA,False
2018-01-13,2018,LAC,SAC,0.195,0.805,,,,,LAC,NA,False
2018-01-13,2018,CHO,OKC,0.6,0.4,,,,,OKC,NA,False
2018-01-14,2018,MIA,MIL,0.401,0.599,,,,,MIA,NA,False
2018-01-14,2018,NYK,NOP,0.465,0.535,,,,,NOP,NA,False
2018-01-15,2018,DET,CHO,0.335,0.665,,,,,CHO,NA,False
2018-01-15,2018,PHI,TOR,0.545,0.455,,,,,PHI,NA,False
2018-01-15,2018,WAS,MIL,0.298,0.702,,,,,MIL,NA,False
2018-01-15,2018,ATL,SAS,0.649,0.351,,,,,ATL,NA,False
2018-01-15,2018,BRK,NYK,0.414,0.586,,,,,NYK,NA,False
2018-01-15,2018,CHI,MIA,0.524,0.476,,,,,CHI,NA,False
2018-01-15,2018,MEM,LAL,0.366,0.634,,,,,MEM,NA,False
2018-01-20,2018,CLE,OKC,0.461,0.539,,,,,OKC,NA,False
2018-01-20,2018,ATL,CHI,0.358,0.642,,,,,CHI,NA,False
2018-01-21,2018,BOS,ORL,0.14,0.86,,,,,ORL,NA,False
2018-01-21,2018,LAL,NYK,0.441,0.559,,,,,LAL,NA,False
2018-01-21,2018,DET,BRK,0.257,0.743,,,,,BRK,NA,False
2018-01-27,2018,DET,OKC,0.474,0.526,,,,,OKC,NA,False
2018-01-28,2018,CHI,MIL,0.61,0.39,,,,,MIL,NA,False
2018-01-28,2018,HOU,PHO,0.074,0.926,,,,,HOU,NA,False
2018-01-28,2018,NOP,LAC,0.385,0.615,,,,,LAC,NA,False
2018-01-28,2018,CLE,DET,0.314,0.686,,,,,CLE,NA,False
2018-01-28,2018,TOR,LAL,0.139,0.861,,,,,TOR,NA,False
2018-01-28,2018,OKC,PHI,0.305,0.695,,,,,OKC,NA,False
2019-01-05,2019,DEN,CHO,0.239,0.761,0.878823134980206,0.12117686501979397,0.5589115674901031,0.441088432509897,DEN,DEN,True
2019-01-06,2019,CHI,BRK,0.601,0.399,0.433722966893023,0.5662770331069771,0.5173614834465114,0.48263851655348855,BRK,CHI,False
2019-01-06,2019,MIN,LAL,0.437,0.563,0.727212079509864,0.272787920490136,0.582106039754932,0.417893960245068,MIN,MIN,True
2019-01-06,2019,LAC,ORL,0.227,0.773,0.719781224326642,0.28021877567335796,0.473390612163321,0.526609387836679,LAC,ORL,False
2019-01-06,2019,ATL,MIA,0.677,0.323,0.376111108211192,0.623888891788808,0.526555554105596,0.47344444589440404,ATL,ATL,True
2019-01-12,2019,LAC,DET,0.267,0.733,0.81796497456808,0.18203502543191996,0.54248248728404,0.45751751271596,DET,LAC,False
2019-01-12,2019,MIA,MEM,0.386,0.614,0.551854083598229,0.44814591640177104,0.4689270417991145,0.5310729582008855,MIA,MEM,False
2019-01-13,2019,NYK,PHI,0.7,0.3,0.149030672989421,0.850969327010579,0.42451533649471046,0.5754846635052895,PHI,PHI,True
2019-01-13,2019,WAS,TOR,0.664,0.336,0.397331097989934,0.602668902010066,0.530665548994967,0.469334451005033,TOR,WAS,False
2019-01-13,2019,ATL,MIL,0.845,0.155,0.304118182811311,0.695881817188689,0.5745590914056555,0.4254409085943445,MIL,ATL,False
2019-01-13,2019,ORL,HOU,0.701,0.299,0.35533653285176,0.6446634671482401,0.52816826642588,0.47183173357412,ORL,ORL,True
2019-01-17,2019,WAS,NYK,0.262,0.738,0.831336193588634,0.16866380641136602,0.5466680967943169,0.453331903205683,WAS,WAS,True
2019-01-19,2019,PHI,OKC,0.418,0.582,0.60451301129776,0.39548698870223997,0.51125650564888,0.48874349435111997,OKC,PHI,False
2019-01-19,2019,CHO,PHO,0.213,0.787,0.789878542063476,0.21012145793652404,0.501439271031738,0.49856072896826203,CHO,CHO,True
2019-01-20,2019,IND,CHO,0.238,0.762,0.787360931514904,0.21263906848509595,0.512680465757452,0.487319534242548,IND,IND,True
2019-01-21,2019,NYK,OKC,0.693,0.307,0.141332953586229,0.858667046413771,0.41716647679311447,0.5828335232068855,OKC,OKC,True
2019-01-21,2019,CLE,CHI,0.421,0.579,0.420270321416428,0.5797296785835719,0.420635160708214,0.579364839291786,CHI,CHI,True
2019-01-21,2019,WAS,DET,0.337,0.663,0.704747741737727,0.29525225826227297,0.5208738708688635,0.4791261291311365,WAS,WAS,True
2019-01-21,2019,MIL,DAL,0.176,0.824,0.858181356216175,0.14181864378382503,0.5170906781080875,0.4829093218919125,MIL,MIL,True
2019-01-21,2019,ATL,ORL,0.49,0.51,0.580299399422449,0.419700600577551,0.5351496997112245,0.4648503002887755,ORL,ATL,False
2019-01-21,2019,BRK,SAC,0.347,0.653,0.666619102340678,0.333380897659322,0.506809551170339,0.493190448829661,BRK,BRK,True
