"","date","season","home_team_full_name","home_team_abb","away_team_full_name","away_team_abb","game_id","wp_home","wp_away"
"1","2022-11-28","2023","Philadelphia 76ers","PHI","Atlanta Hawks","ATL","401468454","0.562","0.438"
"2","2022-11-28","2023","Washington Wizards","WSH","Minnesota Timberwolves","MIN","401468455","0.571","0.429"
"3","2022-11-28","2023","Boston Celtics","BOS","Charlotte Hornets","CHA","401468456","0.836","0.164"
"4","2022-11-28","2023","Brooklyn Nets","BKN","Orlando Magic","ORL","401468457","0.88","0.12"
"5","2022-11-28","2023","Toronto Raptors","TOR","Cleveland Cavaliers","CLE","401468458","0.63","0.37"
"6","2022-11-28","2023","New Orleans Pelicans","NO","Oklahoma City Thunder","OKC","401468459","0.75","0.25"
"7","2022-11-28","2023","Denver Nuggets","DEN","Houston Rockets","HOU","401468460","0.827","0.173"
"8","2022-11-28","2023","Utah Jazz","UTAH","Chicago Bulls","CHI","401468461","0.586","0.414"
"9","2022-11-28","2023","Sacramento Kings","SAC","Phoenix Suns","PHX","401468462","0.516","0.484"
"10","2022-11-28","2023","Los Angeles Lakers","LAL","Indiana Pacers","IND","401468463","0.556","0.444"
"11","2022-11-29","2023","Detroit Pistons","DET","New York Knicks","NY","401468464","0.348","0.652"
"12","2022-11-29","2023","Dallas Mavericks","DAL","Golden State Warriors","GS","401468465","0.559","0.441"
"13","2022-11-29","2023","Portland Trail Blazers","POR","LA Clippers","LAC","401468466","0.563","0.437"
"14","2022-11-30","2023","Cleveland Cavaliers","CLE","Philadelphia 76ers","PHI","401468467","0.523","0.477"
"15","2022-11-30","2023","Orlando Magic","ORL","Atlanta Hawks","ATL","401468468","0.257","0.743"
"16","2022-11-30","2023","Boston Celtics","BOS","Miami Heat","MIA","401468469","0.858","0.142"
"17","2022-11-30","2023","Brooklyn Nets","BKN","Washington Wizards","WSH","401468470","0.601","0.399"
"18","2022-11-30","2023","New York Knicks","NY","Milwaukee Bucks","MIL","401468471","0.378","0.622"
"19","2022-11-30","2023","Minnesota Timberwolves","MIN","Memphis Grizzlies","MEM","401468472","0.431","0.569"
"20","2022-11-30","2023","New Orleans Pelicans","NO","Toronto Raptors","TOR","401468473","0.523","0.477"
"21","2022-11-30","2023","Oklahoma City Thunder","OKC","San Antonio Spurs","SA","401468474","0.631","0.369"
"22","2022-11-30","2023","Denver Nuggets","DEN","Houston Rockets","HOU","401468475","0.829","0.171"
"23","2022-11-30","2023","Phoenix Suns","PHX","Chicago Bulls","CHI","401468476","0.703","0.297"
"24","2022-11-30","2023","Utah Jazz","UTAH","LA Clippers","LAC","401468477","0.738","0.262"
"25","2022-11-30","2023","Sacramento Kings","SAC","Indiana Pacers","IND","401468478","0.638","0.362"
"26","2022-11-30","2023","Los Angeles Lakers","LAL","Portland Trail Blazers","POR","401468479","0.636","0.364"
"27","2022-12-01","2023","Detroit Pistons","DET","Dallas Mavericks","DAL","401468480","0.248","0.752"
"28","2022-12-02","2023","Charlotte Hornets","CHA","Washington Wizards","WSH","401468481","0.439","0.561"
"29","2022-12-02","2023","Atlanta Hawks","ATL","Denver Nuggets","DEN","401468482","0.582","0.418"
"30","2022-12-02","2023","Boston Celtics","BOS","Miami Heat","MIA","401468483","0.849","0.151"
"31","2022-12-02","2023","Brooklyn Nets","BKN","Toronto Raptors","TOR","401468484","0.533","0.467"
"32","2022-12-02","2023","Cleveland Cavaliers","CLE","Orlando Magic","ORL","401468485","0.852","0.148"
"33","2022-12-02","2023","Milwaukee Bucks","MIL","Los Angeles Lakers","LAL","401468486","0.764","0.236"
"33","2022-12-02","2023","Memphis Grizzlies","MEM","Philadelphia 76ers","PHI","401468487","0.518","0.482"
"34","2022-12-02","2023","San Antonio Spurs","SA","New Orleans Pelicans","NO","401468488","0.295","0.705"
"35","2022-12-02","2023","Phoenix Suns","PHX","Houston Rockets","HOU","401468489","0.844","0.156"
"36","2022-12-02","2023","Utah Jazz","UTAH","Indiana Pacers","IND","401468490","0.655","0.345"
"37","2022-12-02","2023","Golden State Warriors","GS","Chicago Bulls","CHI","401468491","0.741","0.259"
"38","2022-12-04","2023","New Orleans Pelicans","NO","Denver Nuggets","DEN","401468499","0.537","0.463"
"39","2022-12-04","2023","San Antonio Spurs","SA","Phoenix Suns","PHX","401468500","0.235","0.765"
"40","2022-12-04","2023","Brooklyn Nets","BKN","Boston Celtics","BOS","401468501","0.33","0.67"
"41","2022-12-04","2023","Detroit Pistons","DET","Memphis Grizzlies","MEM","401468502","0.297","0.703"
"42","2022-12-04","2023","New York Knicks","NY","Cleveland Cavaliers","CLE","401468503","0.411","0.589"
"43","2022-12-04","2023","Washington Wizards","WSH","Los Angeles Lakers","LAL","401468504","0.633","0.367"
"44","2022-12-04","2023","Sacramento Kings","SAC","Chicago Bulls","CHI","401468505","0.582","0.418"
"45","2022-12-04","2023","Portland Trail Blazers","POR","Indiana Pacers","IND","401468506","0.474","0.526"
